msoa11,average_retail_lifetime
E02000001,4126.993899502328
E02000002,2579.563492063492
E02000003,2478.4242068155113
E02000004,2380.2125
E02000005,2320.7129840546695
E02000007,2260.703557312253
E02000008,2229.811403508772
E02000009,2303.5874524714827
E02000010,2837.5222222222224
E02000011,2393.8172043010754
E02000012,2744.3776824034335
E02000013,2871.5436893203882
E02000014,2707.3822152886114
E02000015,2729.389423076923
E02000016,2389.3935837245695
E02000017,2624.662870159453
E02000018,2583.2611940298507
E02000019,3109.5298507462685
E02000020,2332.3703703703704
E02000021,2558.8244047619046
E02000022,2221.8931297709923
E02000023,2400.1485714285714
E02000024,2729.5545945945946
E02000025,2936.6791443850266
E02000026,3261.731707317073
E02000027,3546.592105263158
E02000028,2813.1585365853657
E02000029,3010.8158783783783
E02000030,3853.5454545454545
E02000031,2892.483870967742
E02000032,2489.6220472440946
E02000033,2581.1338028169016
E02000034,2748.4745762711864
E02000035,2965.6991150442477
E02000036,3250.8729281767955
E02000037,3951.0471698113206
E02000038,2839.997506234414
E02000039,2806.8346007604564
E02000040,3227.3714285714286
E02000041,2904.515853658537
E02000042,2712.6043256997455
E02000043,3292.7846153846153
E02000044,2389.5915492957747
E02000045,2618.0
E02000046,2906.94391025641
E02000047,2643.614457831325
E02000048,3081.976331360947
E02000049,3295.7368421052633
E02000050,3047.8888888888887
E02000051,2756.486301369863
E02000052,3230.0397196261683
E02000053,2511.12188365651
E02000054,3267.722222222222
E02000055,2849.781220657277
E02000056,3035.683848797251
E02000057,2712.167910447761
E02000058,3142.9348591549297
E02000059,2804.984269662921
E02000060,3516.65
E02000061,2980.4700460829495
E02000062,2738.8778337531485
E02000063,2567.25
E02000064,2718.8282828282827
E02000065,2962.2444444444445
E02000066,4578.75
E02000067,3236.6629213483147
E02000068,2974.5071542130368
E02000069,2920.769230769231
E02000070,3070.3
E02000071,3258.466150870406
E02000072,3249.825806451613
E02000073,2947.283950617284
E02000074,2994.448275862069
E02000075,4165.614349775785
E02000077,2887.1746031746034
E02000078,2814.104790419162
E02000079,3657.139212423738
E02000080,3295.0093395597064
E02000081,3430.772093023256
E02000082,2929.710344827586
E02000083,3310.987356321839
E02000084,5048.436363636363
E02000085,3237.2282430213463
E02000086,3367.5750798722047
E02000087,3527.025048169557
E02000088,3358.294117647059
E02000089,3114.3586206896553
E02000090,3872.4583333333335
E02000091,3322.4155844155844
E02000092,3411.1267605633802
E02000093,3551.753694581281
E02000094,2895.607692307692
E02000095,3492.4167679222355
E02000096,3349.7770897832816
E02000097,4047.88
E02000098,4342.683127572016
E02000099,2980.853159851301
E02000100,3796.8041237113403
E02000101,2621.512886597938
E02000102,4062.3611111111113
E02000103,2226.8856729377712
E02000104,2367.4579124579122
E02000105,3070.1315315315314
E02000106,3418.2429193899784
E02000107,3520.1062874251497
E02000108,3288.5636363636363
E02000109,2568.9193433261958
E02000110,3773.7263157894736
E02000111,2865.547210300429
E02000112,3081.405388471178
E02000113,3773.6530612244896
E02000114,3265.326653306613
E02000115,2653.0384615384614
E02000116,3400.420591456736
E02000117,3755.9453642384105
E02000118,2630.25313283208
E02000119,3066.1465201465203
E02000120,3077.3263157894735
E02000121,2751.3866877971473
E02000122,4227.83
E02000123,2991.930944055944
E02000124,3404.172443674177
E02000125,3458.8533653846152
E02000126,3053.5760517799354
E02000127,3996.7301038062283
E02000128,3482.5372881355934
E02000130,3737.5855421686747
E02000131,3149.219570405728
E02000132,4094.512765957447
E02000133,3822.8325991189427
E02000134,3532.3101236830053
E02000135,3339.2149410222805
E02000136,4220.469072164949
E02000137,4031.4
E02000138,3925.0785123966944
E02000139,3462.0504032258063
E02000140,3400.606714628297
E02000141,3475.837837837838
E02000142,3508.7289377289376
E02000144,3326.9275808936827
E02000145,3698.4929906542056
E02000146,3765.3136200716845
E02000147,3962.588888888889
E02000148,3689.939037433155
E02000149,3000.3574144486693
E02000150,4508.949806949807
E02000151,2697.0222222222224
E02000152,4388.411764705882
E02000153,4091.964912280702
E02000154,3244.7296798029556
E02000155,2921.007042253521
E02000156,4048.959743824337
E02000157,4359.991228070176
E02000158,3202.8507462686566
E02000159,3586.7775061124694
E02000160,3449.9716216216216
E02000161,3560.201834862385
E02000162,3443.087431693989
E02000163,3877.1746411483255
E02000165,3959.95
E02000166,1227.8076923076924
E02000167,1102.5365853658536
E02000168,1138.1714285714286
E02000171,1065.8
E02000172,1676.85
E02000173,518.0
E02000174,1102.3
E02000175,1102.3
E02000176,997.8
E02000177,1777.5625
E02000178,1920.7272727272727
E02000180,1035.24
E02000182,1104.65
E02000183,1538.5714285714287
E02000184,1645.1875
E02000185,1644.8095238095239
E02000186,1482.0
E02000187,1453.9565217391305
E02000188,1848.575
E02000189,1584.8
E02000190,962.0
E02000191,1171.472010178117
E02000192,991.075
E02000193,1345.9464285714287
E02000194,2837.792941176471
E02000195,3122.5089605734765
E02000196,2631.34
E02000197,2576.801282051282
E02000198,3304.098393574297
E02000199,3093.218592964824
E02000200,2564.050156739812
E02000201,2859.0945945945946
E02000202,3007.6555555555556
E02000203,2838.1734972677596
E02000204,2635.5914718019258
E02000206,2973.5953488372093
E02000207,3113.0
E02000208,2895.847311827957
E02000209,2954.753012048193
E02000210,3056.074074074074
E02000211,2805.955882352941
E02000212,2488.5395408163267
E02000213,2738.4555726759118
E02000214,2832.271629778672
E02000215,3203.3
E02000216,3423.6
E02000217,2733.36875
E02000218,2849.2296650717703
E02000219,3056.940199335548
E02000220,2483.7256011315417
E02000221,2840.1604938271603
E02000222,2814.0023364485983
