msoa11,mosa_residential_meanprice
E02000001,934499.2616176521
E02000002,371132.6009695652
E02000003,401182.88235045807
E02000004,424893.55520148145
E02000005,379087.97468468355
E02000007,385156.1495520979
E02000008,356691.27758858405
E02000009,382583.4397459218
E02000010,357057.77581666666
E02000011,380827.9411767647
E02000012,530483.700069096
E02000013,386227.84090936364
E02000014,367124.06423312105
E02000015,328926.2108248718
E02000016,246282.8987126394
E02000017,385835.1010107408
E02000018,338256.41025641025
E02000019,377622.7729193878
E02000020,346215.2147211765
E02000021,352767.8812413846
E02000022,240836.72086788618
E02000023,227019.05355068494
E02000024,760272.3397720895
E02000025,589085.4126134524
E02000026,685621.9060930939
E02000027,540523.2592639613
E02000028,801659.2476934829
E02000029,528242.6397635918
E02000030,1375843.0206198546
E02000031,714805.1248748411
E02000032,792467.4149253296
E02000033,531350.7528181106
E02000034,640939.8317932927
E02000035,591740.0628724019
E02000036,600191.593945126
E02000037,672297.1914923869
E02000038,658004.6917636759
E02000039,987411.1388391643
E02000040,736389.0523616292
E02000041,635470.0404765268
E02000042,509053.2428441899
E02000043,931199.7793840572
E02000044,538618.3907672936
E02000045,585766.0552450777
E02000046,689461.0189299999
E02000047,391426.68930733943
E02000048,1042756.7536247713
E02000049,385276.6139034637
E02000050,603146.7031306635
E02000051,885684.0746045318
E02000052,800372.9088562623
E02000053,454758.8236465141
E02000054,724668.9189910861
E02000055,893625.795595645
E02000056,3198499.6225183676
E02000057,821785.1849378241
E02000058,877416.7251486582
E02000059,462734.68511874566
E02000060,972260.121791841
E02000061,1449217.7418682352
E02000062,508068.4659090909
E02000063,576718.7903679174
E02000064,1228181.8432010885
E02000065,315393.74186918605
E02000066,358637.04761904763
E02000067,333712.9932796296
E02000068,313758.2845546829
E02000069,355664.96636039735
E02000070,422012.9392451235
E02000071,409663.2613205691
E02000072,363413.97357743897
E02000073,513895.8344933889
E02000074,363688.4104503125
E02000075,503110.84345579264
E02000077,442558.1921024658
E02000078,464435.6847936842
E02000079,449788.10640699207
E02000080,408555.476460514
E02000081,426597.73980659095
E02000082,470505.1178282639
E02000083,358177.5510822917
E02000084,549602.2569431049
E02000085,443522.6350417948
E02000086,549598.5908970629
E02000087,488121.43635763467
E02000088,527007.2072814
E02000089,568124.0156776613
E02000090,359430.8321485339
E02000091,466801.8136901481
E02000092,361744.7037347396
E02000093,477263.8190944221
E02000094,515115.0668190909
E02000095,528971.7768948678
E02000096,732793.8498680629
E02000097,619050.6125289635
E02000098,628305.1282076923
E02000099,476977.17816951545
E02000100,760402.8031299153
E02000101,513740.91456158843
E02000102,402122.063253012
E02000103,644814.5
E02000104,554903.5363114193
E02000105,444093.1599026122
E02000106,590788.0577417323
E02000107,796964.058608118
E02000108,484903.8522000943
E02000109,427911.78399572946
E02000110,877009.0525771528
E02000111,454169.2831723792
E02000112,526505.4334195422
E02000114,681418.3570979311
E02000115,961745.9874196079
E02000116,480569.48529411765
E02000117,414047.2455631372
E02000118,391671.8228013072
E02000119,443845.84615
E02000120,725965.9326564436
E02000121,436296.6157918248
E02000122,1291279.9283734043
E02000123,604976.3765538633
E02000124,1176867.290335035
E02000125,1051847.6800309836
E02000126,646393.5481593662
E02000127,427411.302622199
E02000128,607532.4437933334
E02000130,569975.6124390118
E02000131,451406.6000756828
E02000132,446825.0986838055
E02000133,950002.0795145901
E02000134,424344.2091871724
E02000135,390098.4785125088
E02000136,725201.8955241402
E02000137,569854.0899173478
E02000138,568172.8292283398
E02000139,592633.0868989817
E02000140,397661.51104904496
E02000141,448247.88931503997
E02000142,693904.0502875401
E02000144,563070.1442864481
E02000145,347774.3396307115
E02000146,522613.2528222326
E02000147,893250.862319112
E02000148,887760.1747967935
E02000149,477797.552873125
E02000150,710926.1877899056
E02000151,796137.551434
E02000152,486977.8114857576
E02000153,727704.5951895484
E02000154,490485.9862009745
E02000155,486312.8051510884
E02000156,686423.9687350221
E02000157,652860.9174917327
E02000158,506469.4784389091
E02000159,1268430.069839394
E02000160,642381.1402063451
E02000161,605195.26751375
E02000162,566690.725
E02000163,632915.4785112356
E02000165,427248.78286885493
E02000166,1949646.9498476277
E02000167,2619826.88503706
E02000168,1009860.8283354379
E02000169,2292806.403202143
E02000170,823765.4382073913
E02000171,1079999.179922951
E02000172,821907.7150780001
E02000173,1444529.5087587785
E02000174,919954.0347831731
E02000175,821531.6483017042
E02000176,1263100.3125654012
E02000177,808876.792938128
E02000178,652484.3319895876
E02000179,1332327.5174984615
E02000180,798406.9870054732
E02000181,941259.1101003083
E02000182,1482159.1549506555
E02000183,1610386.6861170947
E02000184,668223.7927
E02000185,831050.0
E02000186,2184025.933436535
E02000187,1044681.773341792
E02000189,1089350.0
E02000190,648932.93712825
E02000191,1113189.5697850762
E02000192,886013.0166701174
E02000193,1186221.3818396912
E02000194,435168.26932989917
E02000195,619411.316311941
E02000196,499660.2244023777
E02000197,529174.1127442918
E02000198,342102.80232058535
E02000199,427076.9130493651
E02000200,349353.6653965954
E02000201,370533.50250918366
E02000202,405544.14187187795
E02000203,358982.59445312887
E02000204,414591.5758761868
E02000206,351492.903627
E02000207,392703.9926624849
E02000208,318819.6539504592
E02000209,375600.0303617293
E02000210,411959.6785544094
E02000211,522719.4306264179
E02000212,370870.7610117757
E02000213,298758.25863324327
E02000214,543318.4782608695
E02000215,415050.22024347715
E02000216,582818.9850068965
E02000217,354750.6611187319
E02000218,537526.1156801981
E02000219,656779.3743605947
E02000220,299273.5903420186
E02000221,412947.0037119919
E02000222,468425.07233965176
E02000223,373631.31313121214
E02000224,404421.06507808017
E02000225,400310.5590955696
E02000226,623115.9580067836
E02000227,381549.72302340314
E02000228,720169.5128100513
E02000229,379132.89206567797
E02000230,539838.8479224701
E02000231,977346.1849367098
E02000232,604739.8006422449
E02000233,541433.4752175503
E02000234,512274.5339766591
E02000235,683878.4102504918
E02000236,567514.3353662437
E02000237,551502.5558854955
E02000238,459655.449452246
E02000239,527064.5365164607
E02000240,384000.4102558
E02000241,430538.7692662836
E02000242,544382.5724975317
E02000243,446980.878879693
E02000244,527158.3250541848
E02000245,318792.178572093
E02000246,439970.5504114197
E02000247,395865.715579837
E02000248,683697.3599996995
E02000249,408000.5583949101
E02000250,884620.0544484932
E02000251,511048.403425514
E02000252,509250.4112377672
E02000253,558574.0182895105
E02000254,497404.6802713333
E02000255,788860.3652760041
E02000256,950022.6179025663
E02000257,792574.0890043011
E02000258,790979.0646788148
E02000259,754499.838321228
E02000261,591641.03489675
E02000262,669793.2562378637
E02000263,399735.98969571665
E02000264,961813.9407602198
E02000265,649220.4023753001
E02000266,480067.2797524658
E02000267,615660.398017471
E02000268,973570.9598370168
E02000269,858662.0226881421
E02000270,550688.265510051
E02000271,1303518.6558648087
E02000272,767073.6233456164
E02000274,338217.58268674416
E02000275,452414.52991461544
E02000276,677402.2241433058
E02000277,392473.21639769233
E02000278,385953.1862808917
E02000279,352099.6677276405
E02000280,506283.4167350495
E02000281,401696.69850174757
E02000282,354035.7834983721
E02000283,452566.18574642384
E02000284,512222.1540619666
E02000285,579155.6961360367
E02000286,493627.5623242652
E02000287,1312715.0384229268
E02000288,343127.56879617245
E02000289,767240.3704089246
E02000290,368428.24074
E02000291,428592.2976191356
E02000292,457702.4182219617
E02000293,828086.2292339896
E02000294,406484.230222439
E02000295,637996.1015246535
E02000296,416954.257911365
E02000297,594459.6777855111
E02000298,901909.6609600567
E02000299,390234.9575491473
E02000300,396905.55645107845
E02000301,379035.25082905986
E02000302,583005.4509512571
E02000303,369610.11904571427
E02000304,913307.3896192223
E02000305,652839.866444153
E02000306,327901.67726631573
E02000307,476919.4556222535
E02000308,452727.2074669589
E02000309,378226.5116284186
E02000311,486172.18243965984
E02000312,593753.9389402305
E02000313,329400.0
